word,meaning,commentary,example,example_meaning,Wordtype
ton,トン,"(重量単位の)『トン』 
(容積単位の)トン(物によって異なり,木材では40立方フィート,小麦では20立方フィート) 
《話》大量(の…),多数(の…)《+of+名》","According to an estimate, steel production will reach 100 million tons this year.",推定によれば、今年の鉄鋼生産は１億トンに達するだろう。,TSL
transaction,取引；交流；やりとり；処理；議事録,"〈U〉《the ~》(業務などの)『処理』,処置《+of+名》 
〈C〉業務,商取り引き 
〈C〉《複数形で》(学術協会などの)報告書",The businessman didn't dare withdraw from the transaction.,その実業家にはその取引から手を引く勇気がなかった。,TSL
translation,翻訳,"〈U〉『訳すこと,翻訳』 
〈C〉翻訳されたもの","Between E->J translations and J->E, it appears that more people want English-Japanese translations.",英日の翻訳と日英の翻訳では、英日の翻訳を希望する人のほうが多いようです。,TSL
translator,翻訳者,"(特に専門の)翻訳者,翻訳家","Translators and compilers of these books considered their work the American equivalents of roman albums and other anime specialty books that were being published in Japan.
","こうした 本 の 翻訳 者 や 編集 者 は 、 自分 たち の 作業 は 日本 で 刊行 さ れ て いる ロマン アルバム や アニメ 専門 本 に 相当 する もの だ と 考え て い た 。
",TSL
transmission,送信；伝達；伝染；放送；変速機,"(また transmittal)〈U〉(…を)伝える(送る)こと,(…が)伝えられる(送られる)こし,(…の)伝達,伝送《+of+名》 
〈C〉(ラジオ・テレビなどで)送られたもの(画面・番組など) 
〈C〉伝動装置,(車の)変速装置,ギヤ",4-speed automatic transmission is available as an option.,オプションとして４速自動変速機も選べる。,TSL
transmit,【動/他】を送る；送信する；伝える；放送する,"〈手紙・品物など〉‘を'送る,(ある人・場所・物から他へ)…‘を'伝える,移す 
(相続・遺伝などによって子孫に)〈財産・性質など〉‘を'伝える《+名+to+名》 
(媒介によって)〈光・熱・音・力など〉‘を'伝える,伝導する;〈ラジオ・テレビなどの内容〉‘を'放送する,〈信号など〉‘を'送信する",Iron transmits heat well.,鉄は熱をよく伝える。,TSL
tremendous,物凄い；すばらしい；恐ろしい,"(大きさ・量・強度などで)『ものすごい』,途方もない 
『恐ろしい』,ぞっとさせる 
非常にすばらしい(wonderful)","-- then we are entitled to wonder what, if anything, the tremendous overhead of conventionally-managed development is actually buying us.
","―― だっ たら われわれ として は 、 そもそも 従来 型 の マネジメント 方式 の 開発 という の は 、 あれ だけ すさまじい オーバー ヘッド を かけ て 、 いったい 何 を 買っ て いる ん だろ う 、 と いう の を 当然 聞い て み たく なる わけ だ 。
",TSL
tunnel,トンネル,"『トンネル』,地下道,坑道 
〈山など〉‘に'トンネルを掘る 
〈トンネルなど〉‘を'掘る 
トンネルを掘る",Our train went through a long tunnel.,私たちの汽車は長いトンネルを通り抜けた。,TSL
unspecified,【形】明示されていない；特定されていない；不特定の,"【形】明示されていない；特定されていない
詳細不明の；特定不能の；不特定の","Also, there were also phenomenon reportedly witnessed by an unspecified number of people in connection with onryo ghosts such as the reported happenings in Tokyo during the Meiji Period in connection with the transfer of ""a tomb for the head"" of TAIRA no Masakado inside an old undisclosed ministry and related curses.
","また、明治時代に東京で起きたとされる、某・旧省庁内における「平将門の『首塚(くびづか)』移転などにまつわる数々の祟り」など、怨霊に関する、不特定多数の人間によって確認されたとされる現象もあった。
",TSL
urgent,"【形】急を要する,緊急の / しつこい / うるさく頼む","『急を要する』,緊急の 
『しつこい』,うるさく頼む",If it's urgent I can page her ...?,緊急なら、ポケベルで呼び出せますけど・・・。,TSL
urgently,緊急に,【副】緊急に；至急に,A stranger beat urgently at the front door.,見知らぬ人が玄関のドアをしきりにたたいた。,TSL
utility,公共事業体；有用；実用的な；役に立つもの,"〈U〉『役に立つこと』 
〈C〉《しばしば複数形で》(ガス・電気・水道などの)『公益事業』",You have to pay for utilities.,諸設備の費用は払っていただきます。,TSL
valid,【形】妥当な、合法的な、正当な,"(理論・理由などが)『妥当な』,しっかりした根拠のある 
(契約・法律などが)『合法的な』,正式な手続きを踏んだ 
(ある期間,またある条件のもとで)有効な",His theory is widely accepted as valid.,彼の理論は妥当なものとして広く認められている。,TSL
violate,違反する；侵害する；汚す；犯す,"〈約束・法律・条約など〉‘を'『破る』,犯す 
《おもに文》〈静けさなど〉‘を'乱す,妨害する 
〈神聖なもの〉‘を'汚す 
《文》《遠回しに》〈女性〉‘に'暴行を加える、強姦する(rape)",The law should not be violated.,法は破ってはならない。,TSL
violation,違反,"(約束・法律などの)違反,無視《+of+名》 
《おもに文》(静けさなどを)乱すこと;(権利などの)侵害 
不敬,冒涜 
《文》暴行",I was fined six thousand yen for a parking violation.,駐車違反で６０００円の罰金をとられた。,TSL
withdrawal,"【名/U】引っ込めること,引っ込むこと；退くこと,撤退；引き上げ,回収；取り消し,撤回","【名/U】引っ込めること,引っ込むこと
退くこと,撤退
引き上げ,回収
取り消し,撤回","While welcoming the firming up of the present government policy to abandon the proposal of the reform bill to the Diet, at the same time some are worried that Prime Minister Koizumi won't clearly state the bill's withdrawal.",政府が今国会への改正案提出の見送り方針を固めたことを歓迎する一方、小泉首相が提出断念を明言していない点を警戒する声も上がった。,TSL
aboard,"乗って; 船[機, 車]内に,新しく加わって","(船・航空機・列車などに)『乗って』 
(船・航空機・列車など)の中へ(に)",I went aboard.,私は乗船した。,TSL
absent,不在の,"『欠席した』,るすの,不在の 
(物が)欠けている,ない 
《名詞の前にのみ用いて》『放心した』 
(…から)〈人〉'を'欠席させる《+『名』+『from』+『名』》",The friend was absent.,友達は留守だった。,TSL
accountant,会計士,"会計係,会計士,計理士",The accountant would not concede the mistake.,会計士は間違いを認めようとしなかった。,TSL
accustom,慣らす,"(…に)〈人・自分・動物〉'を'『慣らす』,習慣づける《+『名』+『to』+『名』(do『ing』)》",She couldn't accustom herself to New England winters.,彼女はニューイングランドの冬には馴染むことが出来なかった。,TSL
activate,作動する；活性化する；駆り立てる,"…'を'活動的にする 
…‘に'放射能を与える 
〈物質〉'を'活性化する",the pressure activates the tripper and releases the water,圧力は、始動装置を動かし、水を放出する,TSL
adhere,"【動/自】《規則・法律・主義などに》執着する,固守する《to》；《考えなどを》支持する《to》；《...に》くっつく,粘着する《to》","【動/自】《規則・法律・主義などに》執着する,固守する《to》；《考えなどを》支持する《to》；《...に》くっつく,粘着する《to》",She adhered strongly to her belief.,彼女は自己の信念を決して変えようとしなかった。,TSL
adjacent,"【形】近接の,隣接している","《文》近接の,隣接している;(…に)すぐ近くの《+『to』+『名』》",The post office is adjacent to the library.,郵便局は図書館の隣にある。,TSL
administer,管理する；運営する；統治する,"…'を'『治める』,管理運営する 
(…に対して)…'を'執行する,実行する(carry out)《+『名』+『to』+『名』》 
(…に)〈薬・手当て・援助など〉'を'与える《+『名』+『to』+『名』》 
(…に)〈一撃・非難・叱責など〉'を'与える,浴びせる《+『名』+『to』+『名』》 
(…に)寄与する,役立つ《+『to』+『名』》",His father administers some companies.,彼の父は会社をいくつか運営している。,TSL
alike," 似ている, 同様である,同じように"," 【形】《複数の人・物が》似ている《similar》
同様である
【副】同じように
《A and B》AもBも等しく《similarly)》",They are all alike to me.,彼らは私から見れば皆同じです。,TSL
alternate,代わりの,"『交互の』,かわるがわるの 
一つおきの(every other) 
代わりの,どれか一つの 
《米》代わり[の人](substitute) 
〈両者が〉交替する;(…と)交替する,互い違いになる《+『with』+『名』》 
…'を'交互にさせる","During the trip, John and I alternated driving the car.",旅行中、ジョンと私は交替で車を運転した。,TSL
amateur,アマチュア,"(専門家に対して)アマチュア,しろうと 
愛好者,ファン 
未熟者,未経験者 
アマチュアの,しろうとの",Normally you'd call 250 yards a great distance for an amateur.,普通、アマチュアでは250ヤード飛べばすごい飛距離だと言われます。,TSL
ambassador,大使,『大使』,Her ambition is to become an ambassador.,彼女の大望は大使になることです。,TSL
ambitious,野心的な,"『大望を抱いた』,野心のある,大志を抱いた 
(仕事・計画などが)野心的な,大がかりな;(悪い意味で)大げさな,高望みの",a large Praetorian bureaucracy filled with ambitious...and often sycophantic people makes work and makes trouble- Arthur M.Schlesinger Jr.,野心で満たされた大きな法務官の官僚機構…そしてしばしばゴマをする人々が仕事と問題を作る−アーサー・M・シュレシンジャー・ジュニア,TSL
anniversary,記念日,"(年ごとの)『記念日』,記念祭 
記念日の",Today is our anniversary so let's make this a special dinner.,今日は私達の記念日なので、夕御飯もスペシャルでいこう。,TSL
antique,骨董の；古代の；骨董品；古代美術様式,"(物・形が)古風な,旧式の,時代遅れの(old-fashioned) 
古い時代の,古来の 
〈C〉古物,古器,骨董(こっとう)品 
《the ~》古代美術,古代様式",He deals antiques in Osaka.,彼は大阪で骨董品を扱っている。,TSL
applicable,適用できる；応用できる；効力がある,適用(応用)できる;(…に)適用できる《+『to』+『名』》,Is that rule applicable to us foreigners?,その規則は我々外国人にも当てはまりますか。,TSL
applicant,申請者,"(…に対する)志願者,応募者《+『for』+『名』》",Does the applicant have suitable abilities to carry out the job?,応募者にふさわしい職務遂行能力があるか？,TSL
appraisal,鑑定,評価;鑑定;(物の)値踏み,There are many cases where an appraisal can't be made on the spot.,現場からは評価されないケースが多々有ります,TSL
archive,"【名/C】古記録,公文書；古記録保管所【動/他】を保管する【形】古記録の","【名/C】《通例~s》古記録,公文書
《通例~s》古記録保管所
【動/他】（文書など）を保管する；（データ）をアーカイブに格納する,保存用メディアに移す
【形】古記録の,公文書の","as does the proof that a given manuscript of the Middle Ages stems from an archive of the fifteenth century.
","ちょうど 、 十五 世紀 の 書庫 から 出 て き た 本 が 中世 の もの だ という 証明 書 が 証明 する よう に 。
",TSL
attain,【動/他】を達成する；に達する【動/自】《...に》到達する《to》,"【動/他】〈目的・望みなど〉'を'『達成する』,獲得する(gain, accomplish) 
〈高い所・ある年齢など〉‘に'『達する』(reach, come to) 
【動/自】(努力して)(…に)到達する《+『to』+『名』》",He attained his hopes.,彼は望みを達成した。,TSL
attorney,代理人,"《米》=lawyer 
代理人",He trusted his defense attorney.,彼は弁護士を信頼していた。,TSL
auction,競売,"〈C〉〈U〉『競売』,せり売り 
〈U〉=auction bridge 
〈物〉'を'競売にかける,せり売りする","I also, same as you, don't trust Yahoo Auction ratings.",あなた同様私もヤフオクの評価が信じられません。,TSL
authentic,真正の；本物の；確実な；信頼できる；本物そっくりの,"信頼できる,確かな 
本物の,ほんとうの;模写ではない",You can easily enjoy authentic flavors.,手軽に本場の味を堪能できます,TSL
auto,自動車；自身の；自己の；自動車の,《米話》=automobile,Auto imports will take a nose-dive in the first quarter.,自動車の輸入は第一・四半期には急減するでしょう。,TSL
automobile,自動車,"《米》『自動車』 
自動の;自動車の",A lot of people are killed in automobile accidents every year.,毎年多くの人々が自動車事故で亡くなっている。,TSL
await,待つ,"〈人が〉…'を'『待つ』 
〈物・事が〉〈人〉'を'待ちうける,待ちかまえる",My predecessors had asked their questions of nature with genuine curiosity and awaited her reply.,僕の先輩たちは、純粋な好奇心を抱いて自分たちの疑問を自然に問いかけ、自然が答えるのを待った。,TSL
balloon,風船；気球；吹き出し；ふくらむ；太る,"『気球』,軽気球 
(おもちゃの)風船 
(気球のように)ふくれる《+『out』(『up』)》 
(気球のように)ふくれた",They sent up a balloon.,彼らは気球をあげた。,TSL
bankrupt,破産した；破産させる；破産者,"【名/C】『破産者』,支払い不能債務者
【形】『破産して』 
《補語にのみ用いて》(…を)欠いて,(…に)欠ける《+『of』(『in』)+『名』》 
【動/他】 …'を'破産させる;…'を'行きづまらせる",He sent me a letter to the effect that his poultry farm would go bankrupt sooner or later.,養鶏業は遅かれ早かれ破産するだろうという旨の手紙を彼は私によこした。,TSL
bankruptcy,倒産,"破産[状態],倒産 
(性格などの)破たん",My father's company is on the verge of bankruptcy.,父の会社は破産寸前である。,TSL
baseball,野球,〈U〉『野球』,No baseball player has been as deified as this man.,野球人でこれほど神格化された男もいない。,TSL
basement,地下,"地階,地下室","Suddenly, the basement I was in started to look almost nice and warm.",急に、この地下室はすばらしく暖かいところのように思え始めたの。,TSL
behalf,味方；利益；(on ~ of A)Aの代理で,"大義, 大目的; 支持, 利益; 《古》 点, 面",She worked on behalf of her family.,彼女は家族のために働いた。,TSL
beneficial,有益,"【形】有益な,ためになる
役に立つ；利益をもたらす
《法律》利益を受けることができる","Evidence suggests, however, that Chow and other Arctic Animation associates made little if any money off of their subtitling operations, and that they provided a highly beneficial in-between service for fansubbers and fans until Arctic itself was backlogged by over a year's worth of requests by 1994.",でも 証拠 を 見る と 、 チョウ や 他 の Arctic Animation の 仲間 たち は 字幕 活動 で まったく と いっ て いい ほど 儲け たり し て い なかっ た し 、 ファン サブ と ファン の 間 の 仲介 という きわめて 有益 な サービス を 提供 し て い た ため 、 当の Arctic が 1994 年 に は 1 年 分 の 未 発送 受注 を 抱える はめ に なっ て しまっ た 。,TSL
bicycle,自転車,"(2輪の)『自転車』 
自転車に乗る,自転車で行く",The child next door was showing off his brand new bicycle to his friends.,隣の子供が友達に、新品の自転車を見せびらかしていた。,TSL
biography,伝記；経歴,"『〈C〉伝記』 
〈U〉《集合的に》伝記文学",The difficulty with biography is that it is partly record and partly art.,伝記を書くことが難しいのは、それが半ば記録であり、半ば芸術であるからだ。,TSL
biology,生物学,『生物学』,He studies biology very hard.,彼はとても熱心に生物学を研究する。,TSL
bonus,ボーナス；特別手当て；良いこと,"ボーナス,特別手当;特別配当金 
桂品,おまけ 
《話》思いがけない喜び[を与えるもの]","First of all, he will aim for a boost in winter bonus payments.",彼はまずは冬のボーナスアップを狙う,TSL
broker,仲介人；査定売却人；取り決める；仲介する,"ブローカー,仲買人",Brokers struggling to make a profit don't always play by the book.,利益追求に必死のブローカーは、必ずしもルールブックにのっとっているとは限らないのです。,TSL
bulb,電球；球根；球根状のもの,"『球根』(ユり・タマネギなどの地下茎),りん(鱗)茎,球茎 
球根状のもの;電球,真空管",Thomas Edison invented the light bulb.,トマス・エジソンが電球を発明した。,TSL
bulk,【名/U】かさ、容積、大部分,"『かさばっていること』 
《the bulk》(…の)大部分,大半《+『of』+『名』》 
ばら荷;(船の)積み荷 
かさばる,大きく見える",He finished the bulk of his work before dinner.,彼は夕食前に仕事の大部分を終えた。,TSL
cab,タクシー,"《おもに米》タクシー(=taxicab) 
昔のつじ馬車 
(トラック・機関車などの)運転台,運転室","The cab and the landau with their steaming horses were in front of the door when I arrived.
","僕 が 着い た 時 に は 馬車 も ランドー も 玄関 の 前 に あり 、 馬 たち は 湯気 を 立て て い た 。
",TSL
cabin,小屋；船室；小屋に泊める,"(通例,木造1階建ての)『小屋』 
『船室』;(飛行機の)客室",The passengers were asleep in their cabins when the ship hit a huge iceberg.,乗客が客室で眠っていたときに船は巨大な氷山と衝突した。,TSL
calendar,カレンダー,"〈C〉『暦』,カレンダー 
〈C〉〈U〉暦法 
〈U〉〈C〉年中行事表;訴訟事件表,議事日程表","In China, they celebrate New Year by the lunar calendar.",中国では、旧暦にしたがって正月を祝う。,TSL
campus,構内；校庭；大学の；学生の；大学,"(大学などの)『構内』,キャンパス;学園 
《米》(大学の)分校",I saw a bright red Ferrari parked at the campus gates and my jaw just dropped.,大学の門の前に真っ赤なフェラーリが停めてあるのを見て、アングリした。,TSL
cargo,貨物,"(船・飛行機の)『積荷』,貨物",The ship discharged its cargo in Panama.,船はパナマで荷を降ろした。,TSL
cater,料理をまかなう,"(結婚式・パーティーなどで)(…の)食物を調達する,料理をまかなう《+『for』(『to』)+『名』》 
(…の)要求を満たす,用命に応じる《+『for』(『to』)+『名』》 
〈結婚式・パーティーなど〉‘の'料理をまかなう,仕出しをする",This is a store that caters specially to students.,これは学生相手の店です。,TSL
caterer,仕出し屋,"(宴会などの)料理の仕出し屋,まかない人;宴会の世話係","At least once a fortnight a corps of caterers came down with several hundred feet of canvas and enough colored lights to make a Christmas tree of Gatsby's enormous garden.
",すくなくとも 2 週間 に 一 度 は 、 数十 メートル も の 麻布 と 、 ギャツビー 邸 の 庭 全体 を 1 本 の クリスマスツリー に 仕立て 上げ られ そう な くらい の 色 電球 を 抱え た 仕出し 屋 の 1 部隊 が やってくる 。,TSL
caution,注意,"〈U〉『用心』,注意,慎重さ,用心深さ(prudence) 
〈C〉『警告』(『注意』)『の言葉』(『合図』,『しるし』) 
…‘に'『警告する』,用心させる","For example, if a chain-smoking teacher cautions a pupil for smoking, that warning is self-contradictory.",例えば、たばこをぷかぷか吸う先生が、たばこを吸う生徒に注意してもその注意は矛盾しているだろう。,TSL
cautious,"注意深い,用心深い；慎重な","『用心深い』,慎重な",reserved and cautious; never making swift decisions,控えめで用心深い；決して即座に決定をしない,TSL
celebrity,有名人,"〈U〉名声,高名 
〈C〉有名人,名士",Do you think we'll get a chance to rub shoulders with any celebrities?,有名人と知り合うチャンスがあるかしら。,TSL
certificate,証明書,"『証明書』,証書,証券 
『免証状』,認許状,(学位を伴わない)修業証書",She was taken in by that fake gold certificate scandal and lost most of her money.,彼女は例の金のインチキ証券商法に引っかかり持ち金のほとんどを失ってしまった。,TSL
certification,認証,"〈U〉証明,保証,認可,検定;証明書の交付 
〈C〉証明書(certificate)","In this case, 40,000 yen will be charged for the certification of the Articles of Incorporation.",この場合、定款認証時に４万円が必要だ,TSL
certify,証明する,"…'を'証明する,保証する,確認する 
(…を)保証する《+『to』+『名』》",He tried to certify the matter as correct.,彼は事態が正しいものだと証明しようとした。,TSL
chef,料理長；料理人；料理をする人,"コック長,料理長 
コック,料理人","Under the Soto sect in Zen sect, cooking and the taking of meals is especially emphasized because of the anecdote that when Dogen, its founder, went to Sung (Dynasty) to study Buddhism and met with the temple chef of Mt. Aikuo, he learned of their daily activities, including cooking and taking of meals, which represent the substance of Bendo ascetic training.
","禅宗のうち曹洞宗では、開祖の道元禅師が宋(王朝)に仏教を学びに渡った時、阿育王山の老典座との出会いから、料理を含めて日常の行いそれ自体がすでに仏道の実践であるという弁道修行の本質を知ったことから、料理すること、食事を取ることは特に重要視されている。
",TSL
chemistry,化学,"『化学』 
化学的性質,化学反応,化学作用","Which do you like better, physics or chemistry?",物理学と化学とどちらがお好きですか。,TSL
chronic,"【形】（病気が）長期にわたる,慢性の； 常習の,癖になった","【形】(病気が)長期にわたる,慢性の 
《名詞の前にのみ用いて》常習の,癖になった",She suffers from a chronic malady.,彼女は慢性の病気にかかっている。,TSL
cinema,映画館；映画,"〈C〉『映画館』(《米》movie theater) 
《the ~》映画産業;《集合的に》『映画』(《米》movie[s])",Her father didn't allow her to go to the cinema alone.,父は彼女が一人で映画に行くのを許さなかった。,TSL
classify,"【動/他】を分類する,類別する；を等級に分ける；を機密扱いにする","【動/他】(…に)…'を'『分類する』,類別する,等級別にする《+『名』+『into』+『名』》 《米》〈文書類など〉'を'機密扱いにする","In woodworking, we classify wood as hardwood, softwood or exotic wood.",木工芸では、木を、硬木、軟木と、唐木に分類します。,TSL
clerk,店員,"(銀行・会社の)行員,社員;事務員 
(官庁の)『書記』,事務官,吏員;(教会の)書記 
《米》『店員』,売り子(=salesclerk)(《英》shop assistant) 
事務員(書記など)として働く","At the same time, the clerk Natsue Arimura told Gokijo of his intent to resign after this month.",同じ頃、事務員・有村夏恵は、今月を限りに退職する旨を五鬼上に申し入れた。,TSL
click,クリック；カチッと音を立てる；仲良くなる,"(掛け金をかけたり,錠を回したりする時の)『カチリという音』 
カチリと鳴る物;掛け金 
『カチリと音がする』 
《英俗》〈男女が〉意気投合する;(…と)カチッと気が合う《+『with』+『名』》 
《話》成功する,うまくいく 
《話》(…に)分かる,のみこめる《+『with』+『名』》 
…'を'カチリと鳴らす",Click the picture to go to the next page!,画像をクリックすると次ページへ移ります！,TSL
closure,閉鎖,"〈U〉閉鎖;閉店,休業 
〈U〉終止,終局 
〈C〉《英》=cloture","In addition, temporary closure may take place.
","その他臨時休館する場合あり
",TSL
commute,通勤する；交換する；変更する；通勤；通学,"《文》(別のものに)…'を'振り替える,切り替える《+『名』+『to』(『for』)+『名』》 
〈刑罰・責務など〉'を'(軽いものに)代える《+『名』+『to』(『into』)+『名』》 
〈電流〉'を'整流する 
(…間を)定期(回数)券で通勤する《+『between』+『名』》,(…から…まで)定期で通勤する《+『from』+『名』+『to』+『名』》 
(定期券による)通勤",He commutes to his office by bus.,彼はバスで通勤している。,TSL
commuter,【名/C】通勤者、定期券使用者,"定期券使用者,(郊外からの)通勤者","It's a classic commuter town, even during the day there are few people around.",典型的なベッドタウンで、昼間においても人通りが少ない。,TSL
compact,小型の；密集した；簡潔な,"『ぎっしり詰まった』,目詰んだ,緊密な;(体格が)引き締まった 
こぢんまりして経済的な,小さくまとまった 
(文体などが)簡潔な 
…'を'ぎっしり詰める;…'を'圧縮する 
コンパクト(鏡,おしろい,パフの携帯用ケース) 
中型自動車(compact car)","There are many smart designs among the compact models, aren't there?",コンパクト型にはおしゃれなデザインが多いですね。,TSL
compatible,両用の；互換性のある；うまがあう,"(…と)両立できる,矛盾のない《+『with』+『名』》",This model is not compatible with the extension system.,この機種が内線システムに対応していない,TSL
compile,編集する；まとめる；機械語に翻訳する,"〈資料など〉'を'まとめる 
〈辞書など〉'を'編集する",We used to compile survey results using spreadsheet programs but recently we feel that database software's summing methods are quicker so we use databases to total them.,アンケートの集計は、表計算ソフトで行っていましたが、最近は、データベースソフトでの集計の方が容易な気がして、データベースソフトで集計しています。,TSL
compliance,コンプライアンス；法令遵守；追従,"(要求・命令などへの)承諾,応諾 
服従,盲従","He has called together legislative bodies at places unusual, uncomfortable, and distant from the depository of their Public Records, for the sole purpose of fatiguing them into compliance with his measures.
","国王 は 、 国民 が 根負け し 、 自分 の 政策 を 守る よう に する 目的 だけ の ため に 、 いつも と は 違っ た 不便 で 公文書 の 保管 場所 から も 離れ た ところ で 立法府 を 召集 し た 。
",TSL
comply,従う；応じる；合致する,"(要求・命令・規則などに)『従う』,応ずる《+『with』+『名』》",I can not comply with your request.,私はあなたの要求に応じられない。,TSL
comprehension,"【名/U】理解,理解力 / 包含,包括,包容力","【名/U】理解;理解力 
【名/U/C】理解度測定試験
【名/U】包含,包括;包容力",His novel is beyond my comprehension.,彼の小説は私には理解できない。,TSL
confidential,【形】機密の；打ち解けた；信用のできる,"(文書・行為などが)秘密の,内々の(secret) 
(態度などが)打ち解けた 
信用のできる,腹心の","messengers were moving unobtrusively over the jet-black mountain ranges, bearing confidential tidings from sheikhdom to sheikhdom",首長国から首長国への機密のニュースを持っていて、メッセンジャーは真っ黒な山脈を控え目に移動していた,TSL
conform,"【動/自】従う【動/他】を従わせる, 適合させる; 一致させる","(慣例・規範などに)『従って行動する』(『考える』)《+『to』(『with』)+『名』》・〈物事が〉(…と)一鋳する,符合する《+『to』+『名』》・(…に)…'を'一致させる,適応させる《+『名』+『to』+『名』》","Man lives in a community, and has to conform to a social pattern.",人間は共同体の中で生活しており、一定の社会生活の型に順応しなければならない。,TSL
congratulate,祝う；称賛する；喜ぶ,"(…に対して)〈人〉‘に'『お祝いを言う』,喜びを述べる《+『名』+『on』(『upon』)+『名』(do『ing』)》",My friends congratulated me on my success.,友人達が私の成功を祝ってくれた。,TSL
congratulation,祝い,"《複数形で》(また『congrats』)(…に対する)『祝いの言葉』,祝辞《+『on』+『名』》 
〈U〉『祝い』,祝賀",Congratulations on the victory!,優勝おめでとう。,TSL
contrary,反対,"【形】『反対の』,相いれない
 逆の,逆方向の;意に反した
《話》ひねくれた,強情な,意地の悪い(perverse) 
【名/C】《the~》『正反対』
《しばしば複数形で》相反するもの；相反する性質
【副】（…の）反対に,逆に；（…に）反して《+『to』+『名』〈事〉,+『with』+『名』〈人〉》",My opinion is contrary to yours.,僕の意見は君のと反対だ。,TSL
convenience,便利さ；利便性；便利なもの,"〈U〉『都合のよいこと』,便利,便宜・〈C〉『便利なもの』;好都合な事情;《複数形で》衣食住の便,便利な設備・《英》《文》=public convenience",Save energy by abolishing the convenience stores' 24-hour-a-day trading!,省エネのためにコンビニの２４時間営業を廃止しろ！,TSL
convenient,便利,"(物事が)『便利な』,使いやすい 
《補語にのみ用いて》(場所が)(…に)近い,近くて便利な《+『to』(『for』)+『名』》",This encyclopaedia is convenient for looking up things.,この百科事典は検索に便利である。,TSL
conveniently,便利に,"『都合よく』,便利に",This house is conveniently situated but the trouble is that it is too small for my large family.,この家は便利なところにあるが、ただ困ったことに、私の大家族には狭すぎます。,TSL
copyright,著作権,"著作権,版権 
…'を'著作権(版権)で保護する;…‘の'著作権(版権)を取得する 
著作権(版権)のある","Institutionally, a major restraint is the copyright problem.",制度的に大きな枷となるのは、著作権の問題である。,TSL
cord,コード；縄；ひもで縛る,"〈U〉〈C〉『綱,ひも』(stringより太くropeより細い) 
〈U〉〈C〉束縛,きずな 
〈C〉〈U〉(電気の)『コード』,線 
(またchord)〈C〉(動物体の)索状組織,腱(けん) 
〈C〉うね織り,(特に)コールテン;(うね織りの)うね;《複数形で》コールテンのズボン 
〈C〉コード(材木の容積の単位で約6.25m) 
…'を'綱(ひも)で縛る",They made a whip out of cords.,細縄で鞭を作った。,TSL
cordless,コードのない,"ひものない;(電気器具が)コード(線)不要の,(特に)電池式の","(xxi) Radio receivers (including those that can receive cordless telephones or radio telegraphy)
","二十一　ラジオ放送用受信機（無線電話又は無線電信を受信することができるものを含む。）
",TSL
costume,衣装；仮装；服装；衣装を着せる,"〈U〉(ある時代・国民・地方などの特殊な)『服装』,身なり 
〈C〉(特定の場合・季節のための)服装 
〈U〉〈C〉(芝居・仮装舞踏会用などの)衣装 
…‘の'衣装を用意する,‘に'衣装をつけさせる",The actors appeared in historical costumes.,俳優たちは昔の時代の衣装を着けて現れた。,TSL
courtesy,礼儀,"〈U〉『礼儀』,丁重,丁寧さ 
〈C〉丁重な行い(言城),親切な行い(言葉)",She did me the courtesy of answering my letter.,彼女は丁重にも私の手紙に返事をくれた。,TSL
deadline,締め切り,最終期限;(新聞・雑誌などの)原稿〆切（締切）時間・最終期限,There will be hell to pay if I don't make this deadline.,もし期限切れになったら、大変なことになるよ。,TSL
deduct,差し引く；控除する,"(総計・総額から)…'を'差し引く,控除する《+『名』+『from』+『名』》",The following amount will be deducted from the per income levy:,次の額を所得割の額から控除する,TSL
deduction,推論；差し引き；控除,"〈U〉差し引き,控除;〈C〉差し引き額,控除額 
〈U〉演繹(えんえき)法;〈U〉〈C〉推論",The tax agent allowed the deduction.,税務署は控除を認めた。,TSL
defect,欠陥,"〈C〉『欠点』,弱点,欠陥 
〈U〉〈C〉《古》不足,欠乏 
(国・党・主義などから)離脱する,裏切って出る《+『from』+『名』》;離反して(…に)転向する《+『to』+『名』》",A quick temper is the only defect in her character.,彼女は気が短いのが玉にきずだ。,TSL
defective,欠陥のある；不完全な,"『欠点のある』,欠陥のある 
欠けている,足りない,(知能的に)標準以下の 
精神障害者,身体障害者",defective speech,不完全なスピーチ,TSL
delicate,【形】繊細な；柔らかい；壊れやすい；か弱い；扱いの難しい,"(形状・感触などが)『繊細な』,精巧な,きめの細かい 
(におい・色などが)『柔らかい』,うすい 
(ガラス器具などが)『壊れやすい』 
(身体が)『か弱い』(frail),きゃしゃな 
(門題などの取扱いが)『微妙な』,むずかしい 
(技術などが)精密な,高度の;(形器などが)敏感な 
(対人的に)神経の細かい",He is delicate.,彼は繊細だ。,TSL
depart,出発する；それる；辞任する；逝く,"《文》(…から)(遠くへ)『立ち走る』,出発する《+『from』+『名』》 
(通常のことから)『はずれる』,変わる《+『from』+『名』》",My friend departed from Narita for Paris.,友人は成田をたってパリに向かった。,TSL
departure,出発；立ち去ること；辞職；逸脱,"(…から)(遠くへ)『立ち去ること』,『出発』《+『from』+『名』》 
(通常のことから)『はずれること』,逸脱《+『from』+『名』》 
(方針・考えなどの)新機軸,新方針",Her behaviour toward me was a departure from the norm.,彼女は私に対する態度がいつもと違っていた。,TSL
